Name;GamesPlayed;MinutesPlayed;PointsPerGame;FieldGoalsMade;Target
Brandon Ingram;36;27.04.00;07.04;02.06;0
Andrew Harrison;35;26.09.00;07.02;2;0
JaKarr Sampson;74;15.03;05.02;2;0
Malik Sealy;58;11.06;05.07;02.03;1
Matt Geiger;48;11.05;04.05;01.06;1
Tony Bennett;75;11.04;03.07;01.05;0
Don MacLean;62;10.09;06.06;02.05;1
Tracy Murray;48;10.03;05.07;02.03;1
Duane Cooper;65;09.09;02.04;1;0
Dave Johnson;42;08.05;03.07;01.04;0
Corey Williams;35;06.09;02.03;00.09;0
Sam Mack;40;06.07;03.06;01.02;1
Lorenzo Williams;27;06.06;01.03;00.06;1
P.J. Hairston;45;15.03;05.06;01.09;0
Elmore Spencer;44;06.04;02.04;1;1
John Crotty;40;06.01;02.06;00.09;1
Stephen Howard;49;05.03;02.01;00.07;0
Randy Woods;41;04.02;01.07;00.06;0
Larry Johnson;82;37.02.00;19.02;07.05;0
Larry Johnson;82;37.02.00;19.02;07.05;1
Billy Owens;80;31.04.00;14.03;05.09;1
Stacey Augmon;82;30.05.00;13.03;05.04;1
Mark Macon;76;30.03.00;10.06;04.04;1
Steven Smith;61;29.06.00;12;04.09;0
Mitch McGary;32;15.02;06.03;02.08;0
Larry Stewart;76;29.03.00;10.04;4;1
Mike Iuzzolino;52;24.06.00;09.03;03.01;0
Doug Smith;76;22.05;08.08;03.08;1
Paul Graham;78;22;10.01;03.09;0
Donald Hodge;51;20.07;08.04;03.02;1
Dale Davis;64;20.03;06.02;02.04;1
Stanley Roberts;55;20.03;10.04;04.03;1
Terrell Brandon;82;19.06;07.04;03.01;1
Bison Dele;48;18.09;09.01;03.06;1
Spencer Dinwiddie;34;13.04;04.03;01.05;0
Tracy Moore;42;18.06;08.05;03.01;1
Greg Anthony;82;18.04;05.05;2;1
Kenny Anderson;64;17;7;02.09;1
Victor Alexander;80;16.09;07.04;3;1
David Benoit;77;15.01;05.06;02.03;1
Kevin Lynch;55;14.09;04.01;01.07;0
LaBradford Smith;48;14.08;05.01;02.01;0
Chris Corchiani;51;14.05;5;01.05;0
Travis Wear;51;13.02;03.09;01.06;0
Robert Pack;72;12.04;04.06;01.06;1
Pete Chilcutt;69;11.08;03.06;01.06;1
Chris Gatling;54;11.03;05.07;02.02;1
Tharon Mayes;24;10.06;04.01;01.03;0
Eric Murdock;50;09.06;04.01;01.05;1
Randy Brown;56;09.06;03.04;01.04;1
Greg Sutton;67;9;03.07;01.04;0
Elliot Perry;50;08.07;02.05;1;1
Marty Conlon;45;08.05;02.07;01.01;1
Rodney Monroe;38;08.02;03.04;01.04;0
John Turner;42;08.02;02.08;1;0
Mark Randall;54;08.02;03.02;01.03;0
Sean Green;35;07.03;4;01.08;0
Kevin Brooks;37;07.03;02.08;01.02;0
Doug Lee;46;06.07;02.06;01.01;0
Corey Crowder;51;06.04;02.02;00.08;0
Rich King;40;05.03;02.02;00.07;0
Stephen Thompson;19;04.08;01.06;00.07;0
Charles Thomas;36;04.03;01.03;00.05;0
Lionel Simmons;79;37.07.00;18;06.09;1
Gary Harris;55;13.01;03.04;01.02;0
Derrick Coleman;74;35.02.00;18.04;06.09;1
Travis Mays;64;33.05.00;14.03;04.06;0
Dennis Scott;82;28.05.00;15.07;06.01;1
Gary Payton*;82;27.04.00;07.02;03.02;1
Felton Spencer;81;25.09.00;07.01;02.04;1
Willie Burton;76;25.04.00;12;04.05;1
Dee Brown;82;23.07;08.07;03.05;0
Dee Brown;82;23.07;08.07;03.05;1
Dee Brown;49;09.02;01.09;00.07;0
Dee Brown;49;09.02;01.09;00.07;1
Kendall Gill;82;23.07;11;04.06;1
Duane Causwell;76;22.06;06.09;02.08;1
Mahmoud Abdul-Rauf;67;22.05;14.01;06.02;1
A.J. English;70;20.06;08.08;03.06;0
Danny Ferry;81;20.05;08.06;03.04;1
Mario Elie;33;19.05;07.02;02.04;1
Anthony Cook;58;19.03;05.03;2;0
Gerald Paddio;70;16.09;07.02;3;0
Bimbo Coles;82;16.05;04.09;2;1
Bo Kimble;62;16.02;06.09;02.06;0
Alec Kessler;78;16.01;06.02;02.06;0
Loy Vaught;73;16.01;05.05;02.04;1
Tyrone Hill;74;16.01;05.03;2;1
Marcus Liberty;76;15.04;06.07;02.08;0
Terry Mills;55;14.09;05.07;02.04;1
Jamal Robinson;47;14.03;05.06;02.03;0
Henry James;37;13.06;08.01;3;1
Jerrod Mustaf;62;13.03;04.03;01.07;0
Kevin Pritchard;62;12.05;03.09;01.04;0
Gerald Glass;51;11.09;06.09;02.09;0
Larry Robinson;36;11.08;03.09;01.07;1
Jud Buechler;74;11.06;03.01;01.03;1
Cedric Ceballos;63;11.06;08.02;03.02;1
Kyle Anderson;33;10.08;02.02;00.09;0
Greg Foster;54;11.02;04.04;01.08;1
Brian Oliver;73;11;03.08;01.05;0
Howard Wright;15;10.09;03.06;01.03;0
Tony Smith;64;10.09;03.07;01.05;1
Tate George;56;10.06;03.04;01.04;0
Rick Calloway;64;10.06;03.02;01.02;0
Steve Henson;68;10.01;03.01;01.02;1
Andy Toolson;47;10;02.09;01.01;0
Jayson Williams;52;09.08;03.05;01.04;1
Kennard Winchester;64;09.05;03.07;01.05;0
Johnny O'Bryant;34;10.08;02.09;01.03;0
Dwayne Schintzius;42;09.05;03.08;01.06;1
Sean Higgins;50;09.03;04.05;01.09;1
Elden Campbell;52;07.03;02.08;01.01;1
Kenny Williams;75;7;02.09;01.02;0
Keith Askins;39;06.08;02.02;00.09;1
Scott Williams;51;06.06;02.05;1;1
Richard Coffey;52;06.02;01.03;00.05;0
Steve Scheffler;39;05.08;01.05;00.05;1
David Robinson*;82;36.06.00;24.03.00;08.04;1
James Young;31;10.07;03.04;01.02;0
Tim Hardaway;79;33.07.00;14.07;05.09;0
Tim Hardaway;79;33.07.00;14.07;05.09;1
J.R. Reid;82;33.06.00;11.01;04.04;1
Pooh Richardson;82;31.05.00;11.04;05.02;1
Sherman Douglas;81;30.05.00;14.03;05.07;1
Sam Mitchell;80;30.02.00;12.07;04.07;1
Glen Rice;77;30;13.06;06.01;1
Glen Rice;77;30;13.06;06.01;0
Mookie Blaylock;50;25.03.00;10.01;04.02;1
Sean Elliott;81;25.01.00;10;03.08;1
Blue Edwards;82;23;08.09;03.05;1
Cory Jefferson;50;10.06;03.07;01.05;0
Nick Anderson;81;22;11.05;04.06;1
Stacey King;82;21.07;08.09;03.03;1
Dana Barros;81;20.01;09.07;03.07;1
Jeff Martin;69;19.06;06.03;02.05;0
Clifford Robinson;82;19.01;09.01;03.06;1
Winston Bennett;55;18;06.01;02.05;0
Chucky Brown;75;17.09;07.03;02.08;1
Michael Ansley;72;17;08.07;03.02;0
Todd Lichti;79;16.08;8;03.02;1
Noah Vonleh;25;10.04;03.03;01.02;0
B.J. Armstrong;81;15.09;05.06;02.03;1
Terry Davis;63;14;04.07;01.09;1
Shawn Kemp;81;13.08;06.05;02.05;1
Tom Hammonds;61;13.02;05.03;02.01;1
Scott Haffner;43;13;04.06;2;0
Randy White;55;12.09;04.03;01.07;1
Kenny Battle;59;12.04;04.01;01.06;0
Donald Royal;66;11.03;05.09;01.08;1
Michael Carter-Williams;70;34.05.00;16.07;06.01;0
Delaney Rudd;77;11;03.05;01.04;0
John Morton;37;10.09;03.09;01.03;0
Greg Grant;67;10.01;03.01;01.02;1
Doug Roth;42;09.08;01.09;00.09;0
Byron Irvin;50;09.08;05.02;01.09;0
Michael Smith;65;09.05;5;02.01;0
Michael Smith;65;09.05;5;02.01;1
Michael Smith;82;21.02;06.09;02.07;0
Michael Smith;82;21.02;06.09;02.07;1
George McCloud;44;09.04;02.07;1;1
Henry Turner;36;08.08;04.03;01.06;0
Charles Smith;60;08.07;02.09;1;1
Charles Smith;60;08.07;02.09;1;1
Charles Smith;60;08.07;02.09;1;0
Charles Smith;71;30.04.00;16.03;06.01;1
Charles Smith;71;30.04.00;16.03;06.01;1
Charles Smith;71;30.04.00;16.03;06.01;0
Charles Smith;34;08.06;03.05;01.04;1
Charles Smith;34;08.06;03.05;01.04;1
Charles Smith;34;08.06;03.05;01.04;0
Ed Horton;45;08.03;04.05;01.08;0
Trey Burke;70;32.03.00;12.08;04.09;0
Frank Kornet;57;07.07;2;00.07;0
Doug West;52;07.03;02.06;1;1
Adrian Caldwell;51;06.05;01.09;00.08;1
Kenny Payne;35;06.02;03.03;01.03;0
Eric Johnson;48;05.07;01.01;00.04;0
Mike Williams;21;04.09;00.07;00.03;0
Mike Morrison;36;04.03;2;00.06;0
Nate Johnston;21;04.01;02.02;00.09;0
Mitch Richmond*;79;34.04.00;22;08.02;1
Willie Anderson;81;33.08.00;18.06;07.09;1
Victor Oladipo;80;31.01.00;13.08;04.09;0
Hersey Hawkins;79;32.06.00;15.01;05.06;1
Kevin Edwards;79;29.07.00;13.08;05.09;1
Grant Long;82;29.07.00;11.09;04.01;1
Rex Chapman;75;29.06.00;16.09;7;1
Brian Shaw;82;28.01.00;08.06;03.06;1
Chris Morris;76;27.06.00;14.01;05.04;1
Gary Grant;71;27.01.00;11.09;05.01;1
Vernon Maxwell;79;26.01.00;11.07;04.05;1
Ben McLemore;82;26.07.00;08.08;03.01;0
Dan Majerle;54;25.01.00;08.06;03.04;1
Sylvester Gray;55;22.02;8;3;0
Ricky Berry;64;22;11;4;0
Tom Garrick;71;21.01;06.04;02.05;0
Michael Anderson;36;20.03;05.07;2;0
Michael Anderson;65;18.05;07.04;02.09;0
Vinny Del Negro;80;19.05;07.01;3;1
Kelvin Upshaw;32;19.03;06.08;03.01;0
Derrick Chievous;81;19;09.03;03.04;0
Ledell Eackles;80;18.02;11.05;4;1
Harvey Grant;71;16.08;05.06;02.05;1
Rod Strickland;81;16.08;08.09;03.03;1
Scott Brooks;82;16.07;05.02;01.09;1
Todd Mitchell;24;14.07;05.01;01.08;0
John Shasky;65;14.05;05.05;01.09;0
Mark Bryant;56;14.03;5;02.01;1
Mark Bryant;36;7;01.06;00.07;1
Shelton Jones;51;13.04;04.08;01.08;0
Eric Leckner;75;10.04;04.03;01.06;1
Jerome Lane;54;10.02;04.08;2;1
Tim Perry;62;09.09;04.01;01.07;1
Jim Les;82;09.05;01.07;00.05;1
Craig Neal;53;09.04;02.02;00.08;0
David Rivers;47;09.04;02.09;1;0
John Starks;36;08.08;04.01;01.04;1
Andrew Lang;62;08.05;02.06;1;1
Bill Jones;37;08.03;03.05;01.04;0
Charles Shackleford;60;08.01;03.01;01.04;1
Morlon Wiley;51;8;02.02;00.09;1
Randolph Keys;42;07.09;4;01.08;1
Mark Davis;33;07.08;03.08;01.05;1
Mark Davis;33;07.08;03.08;01.05;0
Mark Davis;57;10;03.03;1;1
Mark Davis;57;10;03.03;1;0
Troy Williams;24;17.04;05.03;02.01;0
Hollis Thompson;77;22.06;6;02.02;0
Ron Grandison;72;07.03;02.05;00.08;0
Micheal Williams;49;07.03;02.06;1;1
Anthony Frederick;46;06.08;03.03;01.04;0
Avery Johnson;43;06.08;01.06;00.07;1
Everette Stephens;35;6;01.09;00.07;0
Jack Haley;51;05.07;02.02;00.07;1
Duane Ferrell;41;05.06;02.04;00.09;1
Mark Jackson;82;39.06.00;13.06;05.03;1
Kenny Smith;61;35.06.00;13.08;05.04;1
Nate Wolters;58;22.06;07.02;02.09;0
Armen Gilliam;55;32.09.00;14.08;06.02;1
Winston Garland;67;31.07.00;12.04;05.01;1
Joe Wolf;42;27.01.00;07.06;03.02;1
Reggie Williams;35;24.05.00;10.04;04.03;1
Reggie Williams;35;24.05.00;10.04;04.03;1
Greg Anderson;82;24.02.00;11.07;04.06;1
Kevin Johnson;80;24;09.02;03.04;1
Horace Grant;81;22.06;07.07;03.01;1
Reggie Miller*;82;22.04;10;03.07;1
Dennis Hopson;61;22.04;09.06;03.06;1
Ken Norman;66;21.07;08.06;03.07;1
Ryan Kelly;59;22.02;8;02.07;0
Scottie Pippen*;79;20.09;07.09;03.03;1
Derrick McKey;82;20.08;08.05;03.01;1
Muggsy Bogues;79;20.06;5;02.01;1
Tellis Frank;78;20.05;08.01;03.01;1
Ricky Wilson;24;17.05;05.02;01.08;0
Dave Hoppen;39;16.05;05.07;02.02;1
Dallas Comegys;75;15;05.06;02.01;0
Mark Acres;79;14.06;03.06;01.04;1
Michael Jackson;58;13.01;02.07;01.01;0
Tony White;49;11.09;05.03;02.03;0
Brad Lohaus;70;10.03;04.02;01.07;1
Milt Wagner;40;09.05;03.08;01.06;0
Chris Dudley;55;09.03;03.01;01.02;1
Clinton Wheeler;59;08.07;02.05;01.01;0
Billy Donovan;44;08.03;02.04;1;0
Reggie Lewis;49;08.03;04.05;01.08;1
Martin Nessley;44;07.06;01.01;00.05;0
John Stroeder;41;06.06;01.09;00.07;0
Bart Kofoed;36;06.03;01.03;00.05;1
Ray McCallum;45;19.09;06.02;02.05;0
Ralph Lewis;50;06.02;01.07;00.05;0
Ron Harper;82;37.04.00;22.09;9;1
Chuck Person;82;36;18.08;07.07;1
Hot Rod Williams;80;33.09.00;14.06;05.04;1
Brad Daugherty;80;33.07.00;15.07;06.01;1
Nate McMillan;71;27.08.00;05.03;2;1
Kenny Walker;68;25.03.00;10.04;04.02;1
Walter Berry;63;25.02.00;15.09;06.05;0
John Williams;78;22.07;09.02;03.06;1
Kentavious Caldwell-Pope;80;19.08;05.09;02.03;0
Brad Sellers;80;21.09;08.05;03.05;1
David Wingate;77;20.09;08.08;03.04;1
Johnny Dawkins;81;20.08;10.03;04.01;1
William Bedford;50;19.06;06.07;02.08;1
Jeff Hornacek;80;19.05;05.03;2;1
Roy Tarpley;75;18.07;07.05;03.01;1
Mark Price;67;18.02;06.09;02.06;1
John Salley;82;17.08;05.03;2;1
Mark Alarie;64;17.03;07.09;03.04;1
Ben Coleman;68;15.01;06.06;02.07;1
Dennis Rodman*;77;15;06.05;02.08;1
Larry Krystkowiak;68;14.08;06.06;02.05;1
Kenny Gattison;77;14.03;05.02;01.09;1
Tim Kempton;66;14.02;04.04;01.05;1
Harold Pressley;67;13.06;04.06;2;0
Kevin Duckworth;65;13.05;05.04;2;1
Anthony Jones;65;13.02;5;2;0
Mike Brown;62;13.02;04.02;01.07;1
Grant Gondrezick;64;13.01;05.05;02.01;0
Billy Thompson;59;12.09;05.06;02.04;1
Mason Plumlee;70;18.02;07.04;02.08;0
Rafael Addison;62;11.05;05.08;02.04;1
Chris Washburn;35;11;03.08;01.06;0
Keith Smith;42;11;03.03;01.04;0
Johnny Newman;59;10.07;5;01.09;1
Johnny Rogers;45;10.04;04.02;2;0
Dell Curry;67;09.05;04.09;02.01;1
Buck Johnson;60;08.07;03.08;01.06;1
Clinton Smith;41;08.03;03.01;01.02;0
Dave Feitl;62;8;03.07;01.04;1
Bob Martin;43;06.07;03.04;01.02;0
Bob Martin;53;10.01;02.01;00.08;0
Conner Henry;54;6;02.03;00.09;0
Patrick Ewing;50;35.04.00;20;07.07;0
Xavier McDaniel;82;33;17.01;7;1
Karl Malone*;81;30.06.00;14.09;06.02;1
Wayman Tisdale;81;28.01.00;14.07;06.04;1
Benoit Benjamin;79;26.04.00;11.01;04.01;1
Chris Mullin*;55;25.03.00;14;05.02;1
Gerald Wilkins;81;25;12.05;05.04;1
Joe Dumars*;82;23.09;09.04;03.05;1
Cody Zeller;82;17.03;6;02.01;0
Charles Oakley;77;23;09.06;03.06;1
Jon Koncak;82;20.07;08.03;03.02;1
Keith Lee;58;20.06;07.04;03.01;0
Ed Pinckney;80;20;08.05;03.02;1
A.C. Green;82;18.08;06.04;02.05;1
Bob Thornton;71;18.06;04.07;01.08;1
Terry Catledge;64;17.01;07.07;03.02;1
Spud Webb;79;15.06;07.08;02.05;1
Terry Porter;79;15.04;07.01;02.07;1
Marquese Chriss;34;17.01;7;02.07;0
Nick Calathes;71;16.05;04.09;2;0
Carey Scurry;78;15;04.07;01.08;0
Dirk Minniefield;76;14.09;05.05;02.02;0
Joe Kleine;80;14.08;05.02;2;1
Alfredrick Hughes;68;12.07;05.02;02.02;0
Ken Johnson;64;12.07;04.01;01.08;0
Ken Johnson;64;12.07;04.01;01.08;0
Pete Williams;53;10.08;02.08;01.03;0
Bill Martin;66;10.05;5;02.02;0
Tony Snell;77;16;04.05;01.07;0
Fred Cofield;45;10.04;03.07;01.07;0
Dwayne McClain;45;10.02;03.05;01.05;0
John Battle;64;10;04.03;01.06;1
Jerry Reynolds;55;09.02;03.07;01.03;1
Steve Harris;57;08.05;04.05;01.08;1
Lorenzo Charles;36;07.06;03.04;01.04;0
Sam Vincent;57;07.06;03.02;1;1
Blair Rasmussen;48;06.09;03.02;01.03;1
Phil Pressey;75;15.01;02.08;1;0
Michael Jordan*;82;38.03.00;28.02.00;10.02;1
Vern Fleming;80;31.01.00;14.01;05.04;1
Sam Bowie;76;29.02.00;10;03.09;1
Charles Barkley*;82;28.06.00;14;05.02;1
Sam Perkins;82;28.03.00;11;04.02;1
Jay Humphries;80;25.08.00;08.08;03.05;1
Melvin Turpin;79;24.07.00;10.06;04.06;1
Otis Thorpe;82;23.04;12.08;5;1
Kevin Willis;82;21.08;09.03;03.09;1
Michael Cage;75;21.05;07.01;02.09;1
Alvin Robertson;79;21.03;09.02;03.08;1
Tim McCormick;78;20.03;09.03;03.04;1
Charles Jones;78;20.01;08.04;3;1
Charles Jones;78;20.01;08.04;3;0
Charles Jones;78;20.01;08.04;3;0
Charles Jones;29;16.04;03.07;01.03;1
Charles Jones;29;16.04;03.07;01.03;0
Charles Jones;29;16.04;03.07;01.03;0
Jeff Turner;72;19.08;05.08;02.04;1
Tony Brown;82;19.03;06.06;02.06;1
Antoine Carr;62;19.03;8;03.02;1
Steve Colter;78;18.07;07.01;02.08;1
Ken Bannister;75;18.07;06.08;02.08;1
John Stockton*;82;18.02;05.06;01.09;1
Terence Stansbury;74;17.03;07.01;02.08;0
Othell Wilson;74;17;04.04;01.08;0
Eddie Lee Wilkins;54;17;05.05;02.01;1
Chuck Aleksinas;74;15.01;05.01;02.02;0
Ron Anderson;36;14.04;05.08;02.03;1
Frank Brickowski;78;14.03;04.09;01.09;1
Ozell Jones;67;13.03;03.07;01.06;0
Devin Durrant;59;12.08;05.01;01.09;0
Jerome Kersey;77;12.04;06.01;02.03;1
Ron Cavenall;53;12.03;01.05;00.05;0
Jim Petersen;60;11.09;03.02;01.02;1
Tony Campbell;56;11.02;05.06;02.03;1
Lancaster Gordon;63;10.08;04.01;01.07;0
Gary Plummer;66;10.06;03.08;01.04;0
Kenny Fields;51;10.05;03.08;01.06;0
Cory Blackwell;60;09.02;03.04;01.05;0
Bernard Thompson;59;09.01;03.03;01.03;1
Peter Thibeaux;51;9;04.05;01.08;0
Steve Burtt;47;08.09;04.02;01.05;0
Leon Wood;38;07.01;03.02;01.03;1
Charlie Sitton;43;07.01;02.01;00.09;0
Tom Scheffler;39;06.09;01.03;00.05;0
Willie White;39;6;03.03;01.03;0
Rick Carlisle;38;04.07;01.08;00.07;1
Ralph Sampson*;82;32.08.00;21;08.07;1
Steve Stipanovich;81;30;12;04.08;1
Ennis Whatley;80;27;08.04;03.03;1
Rodney McCray;79;26.03.00;10.08;04.02;1
Anthony Bonner;52;12.08;04.02;01.05;1
Mitchell Wiggins;82;25.09.00;12.04;04.09;1
Thurl Bailey;81;24.08.00;08.05;03.07;1
Jeff Malone;81;24.04.00;12.01;5;1
Doc Rivers;81;23.09;09.03;03.01;1
Roy Hinson;80;23.02;05.05;02.03;1
Byron Scott;74;22.01;10.06;04.05;1
Paul Thompson;82;21.01;9;03.08;0
Derek Harper;82;20.09;05.07;02.04;1
Fred Roberts;79;19.04;07.03;02.07;1
Rod Foster;80;17.08;08.03;03.03;0
Dewayne Dedmon;31;12.06;03.01;01.02;0
Jon Sundvold;73;17.06;06.09;3;1
Clyde Drexler*;82;17.02;07.07;03.01;1
Jim Thomas;72;16.09;06.03;02.06;0
Darrell Walker;82;16.01;07.09;02.06;1
Sidney Lowe;78;15.09;04.02;01.04;0
Dale Ellis;67;15.08;08.02;03.04;1
Darren Daye;75;15.07;06.01;02.04;1
Randy Wittman;78;13.07;04.05;02.01;1
Sidney Green;49;13.06;05.02;2;1
Granville Waiters;78;13.03;03.06;01.06;1
C.J. McCollum;38;12.05;05.03;01.09;0
Howard Carter;55;12.05;06.02;02.06;0
Dane Suttle;40;11.07;06.05;02.07;0
Scooter McCray;47;11.01;02.07;1;0
Sedale Threatt;45;10.03;03.03;01.04;1
John Paxson;49;09.03;02.09;01.02;1
Leroy Combs;48;09.03;04.05;01.07;0
Larry Micheaux;39;08.05;03.01;01.03;0
Randy Breuer;57;08.03;02.09;01.02;1
Pace Mannion;57;08.02;02.01;00.09;1
Kris Dunn;33;16.09;04.01;01.05;0
Robbie Hummel;53;12.04;03.04;01.03;0
Bruce Kuczenski;15;07.09;01.09;00.07;0
Russell Cross;45;07.09;03.07;01.04;0
Bob Hansen;55;07.06;02.07;01.02;1
Greg Kite;35;05.06;01.09;00.09;1
Terry Cummings;70;36.02.00;23.07;09.08;1
Clark Kellogg;81;34.01.00;20.01;08.04;1
Quintin Dailey;76;27.04.00;15.01;06.02;1
Rod Higgins;82;26.08.00;10.03;03.08;1
Craig Hodges;76;26.06.00;09.09;04.02;1
