Name;GamesPlayed;MinutesPlayed;PointsPerGame;FieldGoalsMade;Target
Jeff Withey;58;11.08;03.03;01.02;0
James Worthy*;77;25.06.00;13.04;05.08;1
Trent Tucker;78;23.05;08.04;03.08;1
Terry Teagle;73;23.04;10.04;04.05;1
Marc Iavaroni;80;20.02;05.01;2;1
Ed Nealy;82;20;04.04;01.08;1
Rob Williams;74;19.05;7;02.06;0
Jerry Eaves;82;19.04;09.03;03.04;0
Paul Pressey;79;19.03;06.07;02.07;1
Brandon Davies;51;11.03;02.08;01.01;0
Lester Conner;75;18.09;04.09;01.09;1
Mark Eaton;81;18.09;04.03;01.08;1
Bill Garnett;75;18.08;06.03;02.03;0
Jeff Taylor;44;17.06;03.06;01.05;0
Jeff Taylor;77;19.06;06.01;02.02;0
Bryan Warrick;43;16.09;4;01.05;0
Sleepy Floyd;76;16.04;08.01;3;1
Richard Anderson;78;16.03;05.02;02.02;1
Russ Schoene;77;15.09;06.02;02.07;0
John Bagley;68;14.06;05.07;02.04;1
Archie Goodwin;52;10.03;03.07;01.05;0
Cliff Levingston;62;14.02;05.06;02.01;1
LaSalle Thompson;71;13.09;05.04;02.01;1
Bruce Flowers;53;13.02;04.09;02.01;0
Corny Thompson;44;11.08;02.08;1;0
Walker Russell;68;11.01;02.07;1;0
Walker Russell;68;11.01;02.07;1;1
David Thirdkill;49;10.06;4;01.05;1
Dave Batton;54;10.03;03.03;01.06;0
Darren Tillis;52;10.01;03.02;01.05;0
Brook Steppe;62;09.08;4;01.04;1
Rory White;65;09.06;5;2;1
Andre Roberson;40;10;01.09;00.08;0
Linton Townes;55;09.04;04.05;01.09;0
Eddie Phillips;48;08.07;03.02;01.02;0
Jim Johnstone;23;08.03;01.03;00.05;0
Jose Slaughter;63;08.02;03.06;01.04;0
Rickey Williams;44;07.09;03.03;01.03;0
Chris Engler;54;06.08;01.05;00.07;1
Ricky Pierce;39;06.08;02.02;00.08;1
Mark McNamara;36;05.01;02.02;00.08;1
Scott Hastings;31;04.05;01.02;00.04;1
Oliver Robinson;35;04.02;02.09;1;0
Kelly Tripucka;82;37.05.00;21.06;07.08;1
Buck Williams;82;34.05.00;15.05;06.03;1
Isiah Thomas*;72;33.08.00;17;06.03;1
Tom Chambers;81;33.01.00;17.02;06.08;1
Jay Vincent;81;32.04.00;21.04;08.09;1
Mark Aguirre;51;28.08.00;18.07;07.05;1
Herb Williams;82;27.08.00;11.05;5;1
Jeff Ruland;82;27;14.04;05.01;1
Frank Johnson;79;25.07.00;10.07;04.03;1
Elston Turner;80;25;08.03;03.05;1
Steve Johnson;78;22.03;12.08;05.01;1
Albert King;76;22.03;12.01;05.01;1
Gene Banks;80;21.03;09.06;03.09;1
Eddie Johnson;74;20.05;09.03;4;1
Eddie Johnson;74;20.05;09.03;4;1
Danny Schayes;82;19.08;07.09;03.01;1
Rudy Macklin;79;19.02;7;02.07;0
Sam Williams;59;18.02;06.01;02.06;0
Kurt Rambis;64;17.07;04.06;01.08;1
Kurt Nimphius;63;17.02;05.03;02.02;1
Pete Verhoeven;71;17;04.09;02.01;1
Darnell Valentine;82;16.09;06.04;02.03;1
Jim Brogan;63;16.03;06.03;02.06;0
John Douglas;64;16.01;7;02.08;0
Kevin Loder;71;16;06.09;02.09;0
Orlando Woolridge;75;15.08;07.03;02.07;1
Alton Lister;80;14.08;04.05;01.09;1
Larry Nance;80;14.08;06.06;02.08;1
Danny Vranes;77;14;04.09;01.09;1
Ed Rains;49;13;03.09;01.06;0
Peyton Siva;24;09.03;02.03;00.08;0
Jim Smith;72;11.09;02.09;01.02;0
Jeff Lamp;54;11.04;04.06;01.09;1
Ray Blume;49;11.01;04.06;02.01;0
Garry Witts;46;10.07;02.09;01.01;0
Charlie Davis;54;10.06;03.08;01.06;0
Danny Ainge;53;10.06;04.01;01.05;1
Mike McGee;39;9;04.09;02.01;1
Mark Radford;43;08.06;03.04;01.03;0
Alex Bradley;39;08.05;03.05;01.04;0
Reggie Bullock;43;09.02;02.07;1;0
Howard Wood;42;08.01;03.04;01.03;0
Franklin Edwards;42;06.09;03.06;01.05;1
Bobby Cattage;49;06.09;03.01;01.02;0
Charles Bradley;51;06.06;3;01.01;0
Kevin McKenna;36;06.06;01.09;00.08;1
Joe Barry Carroll;82;35.06.00;18.09;07.05;1
Darrell Griffith;81;35.04.00;20.06;08.08;1
Larry Smith;82;31.04.00;09.06;03.07;1
Mike O'Koren;79;31.03.00;11;04.06;1
Kelvin Ransey;80;30.04.00;15.02;06.06;1
Malcolm Delaney;33;16.04;05.03;2;0
Otto Porter;37;08.06;02.01;00.09;0
Bill Laimbeer;81;30.04.00;09.08;04.02;1
Michael Brooks;82;30.02.00;14.07;6;1
Mike Gminski;56;28.02.00;13.02;05.02;1
Darwin Cook;81;24.04.00;11.02;04.07;1
Andrew Toney;75;23.06;12.09;05.03;1
Cedrick Hordges;68;23.05;08.04;03.03;0
Calvin Garrett;70;23.04;06.01;02.07;0
Don Collins;81;22.08;11.05;04.04;1
Louis Orr;82;21.08;10.05;04.02;1
Reggie Johnson;79;21.07;10.02;04.03;0
Larry Drew;76;20.08;06.06;02.06;1
Larry Drew;76;20.08;06.06;02.06;0
Kevin McHale*;82;20.01;10;04.03;1
Lowes Moore;71;19.08;7;3;0
Wayne Robinson;81;19.07;07.09;02.09;0
Johnny Moore;82;19.02;07.04;3;1
Jeff Wilkins;56;18.09;04.07;02.01;1
Kyle Macy;82;17.09;08.01;03.03;1
Bill Hanzlik;74;17;05.04;01.09;1
Solomon Hill;28;08.01;01.07;00.06;0
Edgar Jones;60;15.08;08.07;03.02;1
Sam Worthen;64;14.08;03.07;01.05;0
James Johnson;68;14.04;05.03;01.09;1
James Johnson;65;11.06;03.09;01.05;1
Lorenzo Romar;53;13.07;04.01;01.06;1
Rick Mahorn;52;13.04;04.08;02.01;1
Rickey Brown;45;12.09;4;01.08;1
Butch Carter;54;12.04;05.06;02.01;1
Mike Woodson;81;11.07;04.07;2;1
John Duren;40;11.05;01.08;00.08;0
James Wilkes;48;11.03;04.01;01.08;0
Shabazz Muhammad;37;07.08;03.09;01.05;0
DeWayne Scales;44;11;04.09;02.01;0
Craig Shelton;55;10.07;04.03;01.08;0
Earl Cureton;52;10.02;04.02;01.08;1
Billy Reid;59;10.01;03.02;01.04;0
Jerry Sichting;47;09.06;2;00.07;1
Reggie Carter;60;08.09;02.08;1;0
Mike Harper;55;08.04;02.07;1;0
Mike Niles;44;05.03;02.06;01.01;0
Toure' Murry;51;07.03;02.07;01.01;0
Dionte Christmas;31;06.04;02.03;00.07;0
Damian Lillard;82;38.06.00;19;06.07;1
Bradley Beal;56;31.02.00;13.09;5;1
Semaj Christon;33;15.06;3;01.03;0
Anthony Davis;64;28.08.00;13.05;05.05;1
Dion Waiters;61;28.08.00;14.07;05.05;1
Kyle Singler;82;28;08.08;03.04;1
Tyler Zeller;77;26.04.00;07.09;03.02;1
Maurice Harkless;76;26;08.02;03.04;1
Michael Kidd-Gilchrist;78;26;9;03.06;1
Harrison Barnes;81;25.04.00;09.02;03.04;1
Austin Rivers;61;23.02;06.02;02.04;1
Caris LeVert;12;15.05;04.07;01.06;0
Andre Drummond;60;20.07;07.09;03.05;1
Jared Sullinger;45;19.08;6;02.05;0
Meyers Leonard;69;17.05;05.05;02.02;1
Patrick Beverley;41;17.04;05.06;01.09;1
Jae Crowder;78;17.03;5;01.08;1
Brian Roberts;78;17;07.01;02.07;1
Terrence Ross;73;17;06.04;02.05;1
Chris Copeland;56;15.04;08.07;03.03;0
Thomas Robinson;70;15.01;04.08;2;1
John Jenkins;61;14.08;06.01;02.01;1
Kendall Marshall;48;14.06;3;01.02;0
Draymond Green;79;13.04;02.09;01.01;1
Darius Miller;52;13.03;02.03;00.08;0
John Henson;63;13.01;6;02.06;1
Sheldon McClellan;11;13.07;04.08;01.05;0
DeQuan Jones;63;12.07;03.07;01.05;0
Doron Lamb;47;12.03;03.03;01.03;0
Will Barton;73;12.02;4;01.06;1
Orlando Johnson;51;12.01;4;01.04;0
Arnett Moultrie;47;11.05;03.07;01.07;0
Kyle O'Quinn;57;11.02;04.01;01.08;1
Bernard James;46;09.09;02.08;01.02;0
Kim English;41;09.09;02.09;1;0
Rodney McGruder;30;25.07.00;05.08;02.01;0
Mike Scott;40;09.04;04.06;01.08;1
Marquis Teague;48;08.02;02.01;00.09;0
Tony Wroten;35;07.08;02.06;00.09;0
Maalik Wayns;27;07.05;02.08;1;0
Jeremy Lamb;23;06.04;03.01;1;1
Brandon Knight;66;32.03.00;12.08;04.08;1
MarShon Brooks;56;29.04.00;12.06;04.09;0
Iman Shumpert;59;28.09.00;09.05;03.06;1
Chandler Parsons;63;28.06.00;09.05;03.09;1
Kemba Walker;66;27.02.00;12.01;04.03;1
Isaiah Thomas;65;25.05.00;11.05;03.09;1
Klay Thompson;66;24.04.00;12.05;04.08;1
Kawhi Leonard;64;24;07.09;03.01;1
Wade Baldwin;22;13.05;03.05;01.02;0
Kenneth Faried;46;22.05;10.02;03.09;1
Chris Singleton;66;21.07;04.06;01.08;0
Derrick Williams;66;21.05;08.08;03.01;1
Donald Sloan;33;20.03;05.05;02.04;1
Markieff Morris;63;19.05;07.04;02.08;1
Norris Cole;65;19.04;06.08;02.07;1
Jimmer Fredette;61;18.06;07.06;02.08;1
Charles Jenkins;51;17.05;05.08;02.05;0
Jaylen Brown;34;13.04;04.09;01.09;0
Ivan Johnson;56;16.07;06.04;02.05;0
Alec Burks;59;15.09;07.02;02.06;1
Lavoy Allen;41;15.02;04.01;01.09;1
Lance Thomas;42;15;4;01.04;1
Jordan Williams;43;14.08;04.06;01.08;0
Josh Harrellson;37;14.06;04.04;01.07;0
Greg Stiemsma;55;13.09;02.09;01.02;0
Jeremy Tyler;42;13.05;04.09;02.01;0
Malcolm Lee;19;12.08;03.03;01.02;0
Nolan Smith;44;12.03;03.08;01.05;0
Shelvin Mack;64;12.02;03.06;01.04;1
Jon Leuer;46;12.01;04.07;02.01;1
Tobias Harris;42;11.04;5;01.09;1
Cory Higgins;38;11.01;03.09;01.04;0
Andrew Goudelock;40;10.05;04.04;01.07;0
Jordan Hamilton;26;09.09;04.04;01.08;1
Mickell Gladness;26;09.07;02.02;1;0
Patrick McCaw;26;12.02;02.08;01.01;0
Jeremy Pargo;44;09.06;02.09;01.01;0
E'Twaun Moore;38;08.07;02.09;01.01;1
Jimmy Butler;42;08.05;02.06;00.08;1
JaJuan Johnson;36;08.03;03.02;01.05;0
Blake Griffin;82;38;22.05;08.05;1
John Wall;69;37.08.00;16.04;05.08;1
Landry Fields;82;31;09.07;03.06;1
DeMarcus Cousins;81;28.05.00;14.01;05.03;1
Greg Monroe;80;27.08.00;09.04;03.08;1
Wesley Johnson;79;26.02.00;9;03.04;1
Ed Davis;65;24.06.00;07.07;03.03;1
Jordan Crawford;42;24.05.00;11.07;04.06;0
Evan Turner;78;23;07.02;02.09;1
Eric Bledsoe;81;22.07;06.07;02.05;1
Gary Neal;80;21.01;09.08;03.06;1
Paul George;61;20.07;07.08;02.09;1
Derrick Favors;78;19.07;06.08;02.08;1
Kay Felder;15;11;05.04;01.08;0
Al-Farouq Aminu;81;17.09;05.06;2;1
Ekpe Udoh;58;17.08;04.01;01.07;1
Manny Harris;54;17.03;05.09;2;0
Gordon Hayward;72;16.09;05.04;2;1
Patrick Patterson;52;16.07;06.03;02.09;1
Trevor Booker;65;16.04;05.03;02.01;1
Larry Sanders;60;14.05;04.03;01.09;1
Luke Harangody;49;13.01;03.09;01.06;0
Quincy Pondexter;66;11.01;02.08;01.01;1
Ben Uzoh;42;10.04;03.08;01.05;0
Ish Smith;43;10.03;02.03;1;1
Lazar Hayward;42;10;03.08;01.03;0
Jeremy Evans;49;09.04;03.06;01.06;1
Cole Aldrich;18;07.09;1;00.04;1
Armon Johnson;38;07.03;02.09;01.02;0
Mustafa Shakur;22;07.02;02.03;1;0
Derrick Caracter;41;05.02;2;00.08;0
Tyreke Evans;72;37.02.00;20.01;07.04;1
Stephen Curry;80;36.02.00;17.05;06.06;1
Brandon Jennings;82;32.06.00;15.05;05.05;1
Denzel Valentine;22;10.06;02.05;00.08;0
Jonny Flynn;81;28.09.00;13.05;04.09;0
Darren Collison;76;27.08.00;12.04;04.09;1
Taj Gibson;82;26.09.00;9;03.08;1
Marcus Thornton;73;25.06.00;14.05;05.05;1
Wesley Matthews;82;24.07.00;09.04;03.03;1
Jrue Holiday;73;24.02.00;8;03.02;1
James Harden;76;22.09;09.09;03.01;1
Terrence Williams;78;22.06;08.04;03.03;0
Taurean Waller-Prince;20;10;03.04;01.02;0
DeMar DeRozan;77;21.06;08.06;03.03;1
Ty Lawson;65;20.03;08.03;03.01;1
Chase Budinger;74;20.01;08.09;03.04;1
Toney Douglas;56;19.04;08.06;03.02;1
DeJuan Blair;82;18.02;07.08;03.04;1
Wayne Ellington;76;18.02;06.06;02.05;1
Sam Young;80;16.05;07.04;02.08;0
Eric Maynor;81;15.07;04.07;01.09;1
A.J. Price;56;15.04;07.03;02.06;1
Karl-Anthony Towns;82;32;18.03;07.06;0
Jordan Hill;47;13.03;05.02;02.01;1
Austin Daye;69;13.03;05.01;2;1
Chris Hunter;60;13.01;04.05;01.08;0
Jon Brockman;52;12.06;02.08;01.01;0
Garrett Temple;27;12.04;5;01.06;1
Jodie Meeks;60;12;04.07;01.07;1
Dante Cunningham;63;11.02;03.09;01.07;1
DeMarre Carroll;71;11.02;02.09;01.02;1
Jeff Ayres;39;10.04;02.07;01.01;1
Jeff Teague;71;10.01;03.02;01.03;1
Derrick Brown;57;09.04;03.03;01.02;0
DaJuan Summers;44;09.02;3;1;0
Gerald Henderson;43;08.03;02.06;00.09;1
Gerald Henderson;43;08.03;02.06;00.09;1
Earl Clark;51;07.05;02.07;01.01;1
Cedric Jackson;12;06.03;01.07;00.05;0
Marcus Landry;18;06.02;02.04;00.09;0
Jahlil Okafor;53;30;17.05;07.05;0
Lester Hudson;25;05.02;02.03;00.08;0
O.J. Mayo;82;38;18.05;06.09;1
Derrick Rose;81;37;16.08;07.01;1
Eric Gordon;78;34.03.00;16.01;05.03;1
Russell Westbrook;82;32.05.00;15.03;05.03;1
Mario Chalmers;82;32;10;03.04;1
Brook Lopez;82;30.05.00;13;05.05;1
Jason Thompson;82;28.01.00;11.01;04.03;1
D.J. Augustin;72;26.05.00;11.08;03.07;1
Justise Winslow;78;28.06.00;06.04;02.05;0
Kevin Love;81;25.03.00;11.01;03.09;1
Courtney Lee;77;25.02.00;08.04;03.02;1
Michael Beasley;81;24.08.00;13.09;05.06;1
Brandon Rush;75;24;08.01;03.02;1
Anthony Morrow;67;22.06;10.01;03.08;1
Greg Oden;61;21.05;08.09;03.02;0
Kyle Weaver;56;20.08;05.03;2;0
Ryan Anderson;66;19.09;07.04;02.04;1
Darrell Arthur;76;19.03;05.06;02.05;1
George Hill;77;16.05;05.07;01.09;1
Marreese Speights;79;16;07.07;03.02;1
JaVale McGee;75;15.02;06.05;02.05;1
Mike Taylor;51;15.01;05.07;02.02;0
DeAndre Jordan;53;14.05;04.03;01.08;1
Roy Hibbert;70;14.04;07.01;02.08;1
Bobby Brown;68;13.07;05.03;02.01;0
D'Angelo Russell;80;28.02.00;13.02;04.09;0
Chris Douglas-Roberts;44;13.03;04.09;01.08;1
Jerryd Bayless;53;12.04;04.03;01.03;1
Cory Alexander;59;12.01;04.07;01.07;1
Cory Alexander;60;09.03;02.08;01.01;1
Kosta Koufos;48;11.08;04.07;2;1
Rob Kurz;40;11.01;03.09;01.03;0
Anthony Tolliver;19;10.09;02.07;1;1
Devin Booker;76;27.07.00;13.08;04.08;0
Robin Lopez;60;10.02;03.01;01.02;1
Darnell Jackson;51;08.04;01.09;00.07;0
Sean Singletary;37;08.02;02.04;00.08;0
Kevin Durant;80;34.06.00;20.03;07.03;1
Jeff Green;80;28.02.00;10.05;4;1
Jamario Moon;78;27.08.00;08.05;03.06;1
Al Thornton;79;27.03.00;12.07;04.07;0
Mike Conley;53;26.01.00;09.04;03.06;1
Stanley Johnson;73;23.01;08.01;03.01;0
Daequan Cook;59;24.04.00;08.08;03.03;1
Corey Brewer;79;22.08;05.08;02.03;1
Thaddeus Young;74;21;08.02;03.06;1
Joakim Noah;74;20.07;06.06;02.04;1
Wilson Chandler;35;19.06;07.03;3;1
Rodney Stuckey;57;19;07.06;02.07;1
Jared Dudley;73;19;05.08;02.02;1
Sean Williams;73;17.05;05.06;02.02;0
Myles Turner;60;22.08;10.03;04.04;0
Carl Landry;42;16.09;08.01;03.02;1
Acie Law;56;15.04;04.02;01.07;0
Nick Young;75;15.04;07.05;02.08;1
Jason Smith;76;14.06;04.05;01.09;1
Glen Davis;69;13.06;04.05;01.06;1
Javaris Crittenton;50;13.06;05.06;2;0
Spencer Hawes;71;13.01;04.07;02.01;1
Arron Afflalo;75;12.09;03.07;01.03;1
Aaron Brooks;51;11.09;05.02;01.08;1
C.J. Watson;32;11.05;03.07;01.03;1
Julian Wright;57;11.02;03.09;01.06;0
Chris Richard;52;10.07;01.09;00.08;0
Nick Fazekas;26;10.03;04.01;01.08;0
Aaron Gray;61;10;04.03;01.07;1
Dominic McGuire;70;09.09;01.03;00.06;1
Brandan Wright;38;09.09;4;01.06;1
Jermareo Davidson;38;08.05;03.02;01.03;0
Mario West;64;04.02;00.09;00.03;0
Demetris Nichols;14;03.01;01.01;00.04;0
Willie Cauley-Stein;66;21.04;7;02.09;0
Brandon Roy;57;35.04.00;16.08;06.01;1
Adam Morrison;78;29.08.00;11.08;04.06;0
Rudy Gay;78;27;10.08;04.01;1
Rajon Rondo;78;23.05;06.04;02.04;1
Randy Foye;82;22.09;10.01;03.07;1
LaMarcus Aldridge;63;22.01;9;03.08;1
Tarence Kinsey;48;20.01;07.07;02.09;0
Josh Richardson;52;21.03;06.06;02.04;0
Craig Smith;82;18.07;07.04;3;1
Shelden Williams;81;18.07;05.05;2;1
Paul Millsap;82;18;06.08;02.05;1
Rodney Carney;67;17.04;06.06;02.07;1
Marcus Williams;79;16.06;06.08;02.06;0
Marcus Williams;79;16.06;06.08;02.06;0
Daniel Gibson;60;16.05;04.06;01.06;1
Renaldo Balkman;68;15.06;04.09;2;1
Rondae Hollis-Jefferson;29;21.02;05.08;02.02;0
Jordan Farmar;72;15.01;04.04;01.07;1
Allan Ray;47;15.01;06.02;02.01;0
Mardy Collins;52;14.09;04.05;01.07;0
J.J. Redick;42;14.08;6;01.09;1
Tyrus Thomas;72;13.04;05.02;01.09;1
Alexander Johnson;59;12.08;04.04;01.05;0
Cedric Simmons;43;12.04;02.09;01.03;0
Frank Kaminsky;81;21.01;07.05;02.07;0
Shawne Williams;46;12.01;03.09;01.06;1
Ronnie Brewer;56;12.01;04.06;01.08;1
David Noel;68;11.06;02.07;1;0
Solomon Jones;58;11.05;03.03;01.01;1
Leon Powe;63;11.04;04.02;01.03;1
Hilton Armstrong;56;11.03;03.01;01.02;1
Josh Boone;61;11;04.02;01.06;0
Lynn Greer;41;10.05;04.01;01.05;0
Chris Quinn;42;09.07;03.04;01.01;1
Anthony Brown;29;20.07;4;01.03;0
Quincy Douby;42;08.05;02.08;01.01;0
Hassan Adams;61;08.01;02.09;01.02;0
Bobby Jones;44;07.06;02.05;1;1
Bobby Jones;44;07.06;02.05;1;0
Andre Brown;38;07.01;02.04;01.01;0
Steve Novak;35;05.05;01.05;00.05;1
Chris Paul;78;36;16.01;05.02;1
Raymond Felton;80;30.01.00;11.09;04.03;1
Charlie Villanueva;81;29.01.00;13;05.04;1
Luther Head;80;28.09.00;08.08;03.02;1
Deron Williams;80;28.08.00;10.08;04.02;1
Larry Nance Jr.;63;20.01;05.05;02.05;0
Marvin Williams;79;24.07.00;08.05;3;1
Channing Frye;65;24.02.00;12.03;04.07;1
Danny Granger;78;22.06;07.05;02.08;1
Ryan Gomes;61;22.06;07.06;02.08;1
Nate Robinson;72;21.04;09.03;03.02;1
Salim Stoudamire;61;20.03;09.07;03.03;0
Jarrett Jack;79;20.02;06.07;02.04;1
T.J. McConnell;81;19.08;06.01;02.07;0
Joey Graham;80;19.08;06.07;02.05;1
Monta Ellis;49;18.01;06.08;02.07;1
Martell Webster;61;17.05;06.06;02.03;1
Rashad McCants;79;17.02;07.09;03.01;0
David Lee;67;16.09;05.01;2;1
David Lee;67;16.09;05.01;2;0
Alan Anderson;36;15.07;05.08;02.01;1
Orien Greene;80;15.04;03.02;01.03;0
Ike Diogu;69;14.09;7;02.05;1
Daniel Ewing;66;14.07;03.08;01.05;0
Gerald Fitch;18;13.03;04.07;01.07;0
James Singleton;59;12.08;03.04;01.03;1
Josh Powell;37;11.06;3;1;1
Hakim Warrick;68;10.06;04.01;01.05;1
Wayne Simien;43;09.06;03.04;01.03;0
Antoine Wright;39;09.05;01.08;00.07;1
Donell Taylor;51;09.01;02.07;1;0
C.J. Miles;23;08.08;03.04;01.02;1
Malcolm Brogdon;32;22.09;08.03;03.02;0
Kevin Burleson;39;08.07;01.08;00.06;0
Shavlik Randolph;57;08.05;02.03;00.08;1
Andrew Bynum;46;07.03;01.06;00.07;1
Lawrence Roberts;33;05.05;01.05;00.06;0
Emeka Okafor;73;35.06.00;15.01;06.01;1
Andre Iguodala;82;32.08.00;9;03.03;1
Dwight Howard;82;32.06.00;12;04.03;1
Josh Childress;80;29.07.00;10.01;03.08;1
